
Network Stats for the last 4516 seconds:

Total Sent Spatial Packets: 33059
Total Requested to Send Spatial Packets: 89948
Total Sent Actor Motion Hints Packets: 657
Percentage of Usual Bandwidth Used: 37.22%


Total Sent: 83963, 0B (16.40MB)
63  PlayerListPacket                   3.76MB, Num 12, Avg 321.24KB
52  CraftingDataPacket                 2.02MB, Num 6, Avg 344.22KB
122 BiomeDefinitionListPacket          1.86MB, Num 6, Avg 316.76KB
174 SubChunkPacket                     1.86MB, Num 2527, Avg 0.75KB
76  AvailableCommandsPacket            1.69MB, Num 6, Avg 288.76KB
136 ClientCacheMissResponsePacket      0.74MB, Num 2972, Avg 260B
191 FeatureRegistryPacket              0.68MB, Num 6, Avg 116.88KB
162 ItemRegistryPacket                 0.51MB, Num 6, Avg 86.53KB
39  SetActorDataPacket                 426.18KB, Num 16375, Avg 26B
111 MoveActorDeltaPacket               403.18KB, Num 33059, Avg 12B
199 UnlockedRecipesPacket              392.37KB, Num 6, Avg 65.39KB
49  InventoryContentPacket             382.80KB, Num 2870, Avg 136B
29  UpdateAttributesPacket             316.38KB, Num 594, Avg 0.53KB
145 CreativeContentPacket              293.54KB, Num 6, Avg 48.92KB
56  BlockActorDataPacket               235.26KB, Num 1643, Avg 146B
13  AddActorPacket                     225.36KB, Num 432, Avg 0.52KB
172 UpdateSubChunkBlocksPacket         158.46KB, Num 1176, Avg 137B
40  SetActorMotionPacket               126.94KB, Num 8142, Avg 15B
58  LevelChunkPacket                   98.51KB, Num 4035, Avg 25B
121 NetworkChunkPublisherUpdatePacket  53.29KB, Num 2652, Avg 20B
119 AvailableActorIdentifiersPacket    49.10KB, Num 6, Avg 8.18KB
123 LevelSoundEventPacket              39.49KB, Num 1317, Avg 30B
15  AddItemActorPacket                 29.46KB, Num 71, Avg 424B
21  UpdateBlockPacket                  25.72KB, Num 1646, Avg 15B
30  InventoryTransactionPacket         17.71KB, Num 16, Avg 1.11KB
25  LevelEventPacket                   12.96KB, Num 752, Avg 17B
50  InventorySlotPacket                11.30KB, Num 472, Avg 24B
148 ItemStackResponsePacket            9.92KB, Num 411, Avg 24B
302 TrimDataPacket                     7.45KB, Num 6, Avg 1.24KB
320 CameraAimAssistPresetsPacket       6.29KB, Num 6, Avg 1.05KB
165 SyncActorPropertyPacket            5.94KB, Num 48, Avg 126B
11  StartGamePacket                    5.82KB, Num 6, Avg 0.97KB
72  GameRulesChangedPacket             4.21KB, Num 6, Avg 0.70KB
14  RemoveActorPacket                  3.74KB, Num 479, Avg 8B
48  PlayerHotbarPacket                 2.71KB, Num 693, Avg 4B
